,No.,expression,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total,equivalent,max,avg,min,total
,2,abc+abd+abe+abf+abg+abh+abi+abj+abk+abl,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,90,19,19,19,1710,0,100,34,1,1020,0,100,20,1,11070,0,19,19,19,190,0,1,1,1,30,0,1,1,1,20,0,1,1,1,9,0,1,1,1,10,0,1,1,1,1
,3,ab!c+ab!d+abe,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,6,5,5,5,30,0,9,3,1,33,0,9,3,1,104,0,5,5,5,15,0,1,1,1,9,0,1,1,1,6,0,1,1,1,2,0,1,1,1,3,0,1,1,1,1
,4,a!be+a!ce+!a!de,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,2,3,1,1,18,0,4,1,1,14,0,4,1,1,50,0,3,2,1,7,0,1,1,1,9,0,1,1,1,6,0,1,1,1,2,0,1,1,1,3,0,1,1,1,1
,5,!a!bc+!b!dc,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,2,3,3,3,6,0,4,2,1,10,0,4,1,1,22,0,3,3,3,6,0,1,1,1,6,0,1,1,1,4,0,1,1,1,1,0,1,1,1,2,0,1,1,1,1
,6,cdfa!e!h+cdfa!ei+cdf!b!h+cdf!bi,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,6,6,2,1,34,0,4,1,1,38,0,6,1,1,136,0,6,3,1,14,0,1,1,1,22,0,1,1,1,18,0,1,1,1,3,0,1,1,1,4,0,1,1,1,1
,7,!a+!b+!c+!d+!e+!f+!g+!h,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,56,15,15,15,840,0,15,15,15,120,0,56,35,15,3976,0,15,15,15,120,0,1,1,1,8,,,,,,0,1,1,1,7,0,1,1,1,8,0,1,1,1,1
,8,abc!i+abc!j+abc!k,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,6,5,5,5,30,0,9,3,1,36,0,9,3,1,102,0,5,5,5,15,0,1,1,1,12,0,1,1,1,9,0,1,1,1,2,0,1,1,1,3,0,1,1,1,1
,9,defgh!i+defgh!j+defgh!k,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,6,5,5,5,30,0,9,2,1,42,0,9,2,1,114,0,5,5,5,15,0,1,1,1,18,0,1,1,1,15,0,1,1,1,2,0,1,1,1,3,0,1,1,1,1
,10,!ab+!ad+!ae+!cfi+g!ij,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,6,1,1,1,60,0,6,3,1,27,0,6,1,1,186,0,1,1,1,5,0,1,1,1,12,0,1,1,1,7,0,1,1,1,4,0,1,1,1,5,0,1,1,1,1
,11,!ac!de+!ac!df+b!gi!jk+b!hi!jk,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,4,1,1,1,48,0,4,1,1,30,0,4,1,1,230,0,1,1,1,4,0,1,1,1,18,0,1,1,1,14,0,1,1,1,3,0,1,1,1,4,0,1,1,1,1
,12,!l+!m+!n+!o+!p,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,,,,,,DORF,,,,,TNF,,,,,ENF,,,,
,,,20,9,9,9,180,0,9,9,9,45,0,20,14,9,580,0,9,9,9,45,0,1,1,1,5,,,,,,0,1,1,1,4,0,1,1,1,5,0,1,1,1,1
,13,ab!c!l+ab!c!m+ab!c!n+ab!c!o+ab!c!p,LIF,,,,,LOF,,,,,LRF,,,,,TOF,,,,,LNF,,,,,CORF,,,,,DORF,,,,,TNF,,,,,ENF,,,,
